sample_time,computation_time,detection,fpic_rank,fpim_rank,fwaf_rank,fiml_rank,fx_rank
0.000000,0.010514,0,0.000000,0.000000,0.000000,0.000000,0.000000 
0.050167,0.009000,0,0.000000,0.000000,0.000000,0.000000,0.000000 
0.100012,0.007007,0,0.000000,0.000000,0.000000,0.000000,0.000000 
0.150115,0.006001,0,0.000000,0.000000,0.000000,0.000000,0.000000 
0.200015,0.005999,0,0.000000,0.000000,0.000000,0.000000,0.000000 
0.250146,0.007515,0,0.000000,0.000000,0.000000,0.000000,0.000000 
0.300001,0.005523,0,0.000000,0.000000,0.000000,0.000000,0.000000 
0.350149,0.006001,0,0.000000,0.000000,0.000000,0.000000,0.000000 
0.400014,0.006008,0,0.000000,0.000000,0.000000,0.000000,0.000000 
0.450141,0.006999,0,0.000000,0.000000,0.000000,0.000000,0.000000 
0.500022,0.005524,0,0.000000,0.000000,0.000000,0.000000,0.000000 
0.550134,0.006998,0,0.000000,0.000000,0.000000,0.000000,0.000000 
0.600122,0.006506,0,0.000000,0.000000,0.000000,0.000000,0.000000 
0.650157,0.006008,0,0.000000,0.000000,0.000000,0.000000,0.000000 
0.700147,0.006003,0,0.000000,0.000000,0.000000,0.000000,0.000000 
0.749978,0.005996,0,0.000000,0.000000,0.000000,0.000000,0.000000 
0.800114,0.006518,0,0.000000,0.000000,0.000000,0.000000,0.000000 
0.850010,0.005997,0,0.000000,0.000000,0.000000,0.000000,0.000000 
0.900126,0.006007,0,0.000000,0.000000,0.000000,0.000000,0.000000 
0.950001,0.007002,0,0.000000,0.000000,0.000000,0.000000,0.000000 
1.000111,0.008514,0,0.000000,0.000000,0.000000,0.000000,0.000000 
1.050010,0.008783,0,0.000000,0.000000,0.000000,0.000000,0.000000 
1.100113,0.009508,0,0.000000,0.000000,0.000000,0.000000,0.000000 
1.149995,0.011009,0,0.000000,0.000000,0.000000,0.000000,0.000000 
1.200105,0.007527,0,0.000000,0.000000,0.000000,0.000000,0.000000 
1.249999,0.007999,0,0.000000,0.000000,0.000000,0.000000,0.000000 
1.300136,0.004063,0,0.000000,0.000000,0.000000,0.000000,0.000000 
1.350152,0.005000,0,0.000000,0.000000,0.000000,0.000000,0.000000 
1.400111,0.007000,0,0.000000,0.000000,0.000000,0.000000,0.000000 
1.450155,0.004515,0,0.000000,0.000000,0.000000,0.000000,0.000000 
1.500004,0.005000,0,0.000000,0.000000,0.000000,0.000000,0.000000 
1.550125,0.005999,0,0.000000,0.000000,0.000000,0.000000,0.000000 
1.599971,0.005999,0,0.000000,0.000000,0.000000,0.000000,0.000000 
1.650133,0.006005,0,0.000000,0.000000,0.000000,0.000000,0.000000 
1.699989,0.006003,0,0.000000,0.000000,0.000000,0.000000,0.000000 
1.750126,0.006507,0,0.000000,0.000000,0.000000,0.000000,0.000000 
1.799961,0.006002,0,0.000000,0.000000,0.000000,0.000000,0.000000 
1.850141,0.005516,0,0.000000,0.000000,0.000000,0.000000,0.000000 
1.900006,0.006005,0,0.000000,0.000000,0.000000,0.000000,0.000000 
1.950144,0.003999,0,0.000000,0.000000,0.000000,0.000000,0.000000 
2.000021,0.005001,0,0.000000,0.000000,0.000000,0.000000,0.000000 
2.050151,0.005526,0,0.000000,0.000000,0.000000,0.000000,0.000000 
2.100136,0.005001,0,0.000000,0.000000,0.000000,0.000000,0.000000 
2.150103,0.005001,0,0.000000,0.000000,0.000000,0.000000,0.000000 
2.200139,0.006512,0,0.000000,0.000000,0.000000,0.000000,0.000000 
2.249974,0.005003,0,0.000000,0.000000,0.000000,0.000000,0.000000 
2.300104,0.005520,0,0.000000,0.000000,0.000000,0.000000,0.000000 
2.350000,0.006995,0,0.000000,0.000000,0.000000,0.000000,0.000000 
2.400117,0.006001,0,0.000000,0.000000,0.000000,0.000000,0.000000 
2.449959,0.005001,0,0.000000,0.000000,0.000000,0.000000,0.000000 
2.500140,0.006012,0,0.000000,0.000000,0.000000,0.000000,0.000000 
2.549961,0.004997,0,0.000000,0.000000,0.000000,0.000000,0.000000 
2.600138,0.005002,0,0.000000,0.000000,0.000000,0.000000,0.000000 
2.649969,0.005514,0,0.000000,0.000000,0.000000,0.000000,0.000000 
2.700136,0.006000,0,0.000000,0.000000,0.000000,0.000000,0.000000 
2.749994,0.006003,0,0.000000,0.000000,0.000000,0.000000,0.000000 
2.800116,0.004998,0,0.000000,0.000000,0.000000,0.000000,0.000000 
2.850095,0.003509,0,0.000000,0.000000,0.000000,0.000000,0.000000 
2.900054,0.007010,0,0.000000,0.000000,0.000000,0.000000,0.000000 
2.950129,0.005520,0,0.000000,0.000000,0.000000,0.000000,0.000000 
2.999984,0.006001,0,0.000000,0.000000,0.000000,0.000000,0.000000 
3.050118,0.006003,0,0.000000,0.000000,0.000000,0.000000,0.000000 
3.099974,0.005057,0,0.000000,0.000000,0.000000,0.000000,0.000000 
3.150107,0.004999,0,0.000000,0.000000,0.000000,0.000000,0.000000 
3.199989,0.006000,0,0.000000,0.000000,0.000000,0.000000,0.000000 
3.250149,0.006506,0,0.000000,0.000000,0.000000,0.000000,0.000000 
3.299989,0.006010,0,0.000000,0.000000,0.000000,0.000000,0.000000 
3.350317,0.005000,0,0.000000,0.000000,0.000000,0.000000,0.000000 
3.399965,0.005007,0,0.000000,0.000000,0.000000,0.000000,0.000000 
3.450118,0.005004,0,0.000000,0.000000,0.000000,0.000000,0.000000 
3.500031,0.005998,0,0.000000,0.000000,0.000000,0.000000,0.000000 
3.550125,0.004516,0,0.000000,0.000000,0.000000,0.000000,0.000000 
3.600247,0.005999,0,0.000000,0.000000,0.000000,0.000000,0.000000 
3.650122,0.005003,0,0.000000,0.000000,0.000000,0.000000,0.000000 
3.700114,0.006512,0,0.000000,0.000000,0.000000,0.000000,0.000000 
3.749999,0.005003,0,0.000000,0.000000,0.000000,0.000000,0.000000 
3.800104,0.005998,0,0.000000,0.000000,0.000000,0.000000,0.000000 
