sample_time;computation_time;detection;fpic_rank;fpim_rank;fwaf_rank;fiml_rank;fx_rank;det;diff
0.000000;0.009005;0;0.000000;0.000000;0.000000;0.000000;0.000000 ;0;0
0.050141;0.007998;0;0.000000;0.000000;0.000000;0.000000;0.000000 ;0;0
0.100161;0.007002;0;0.000000;0.000000;0.000000;0.000000;0.000000 ;0;0
0.150122;0.006516;0;0.000000;0.000000;0.000000;0.000000;0.000000 ;0;0
0.200177;0.005999;0;0.000000;0.000000;0.000000;0.000000;0.000000 ;0;0
0.250039;0.006519;0;0.000000;0.000000;0.000000;0.000000;0.000000 ;0;0
0.300183;0.006997;0;0.000000;0.000000;0.000000;0.000000;0.000000 ;0;0
0.350042;0.007511;0;0.000000;0.000000;0.000000;0.000000;0.000000 ;0;0
0.400200;0.006007;0;0.000000;0.000000;0.000000;0.000000;0.000000 ;0;0
0.450049;0.005999;0;0.000000;0.000000;0.000000;0.000000;0.000000 ;0;0
0.500177;0.007518;0;0.000000;0.000000;0.000000;0.000000;0.000000 ;0;0
0.550031;0.006000;0;0.000000;0.000000;0.000000;0.000000;0.000000 ;0;0
0.600179;0.005514;0;0.000000;0.000000;0.000000;0.000000;0.000000 ;0;0
0.650052;0.005999;0;0.000000;0.000000;0.000000;0.000000;0.000000 ;0;0
0.700197;0.006000;0;0.000000;0.000000;0.000000;0.000000;0.000000 ;0;0
0.750324;0.006002;0;0.000000;0.000000;0.000000;0.000000;0.000000 ;0;0
0.800110;0.007009;0;0.000000;0.000000;0.000000;0.000000;0.000000 ;0;0
0.850196;0.004999;0;0.000000;0.000000;0.000000;0.000000;0.000000 ;0;0
0.900073;0.005004;0;0.000000;0.000000;0.000000;0.000000;0.000000 ;0;0
0.950180;0.007517;0;0.000000;0.000000;0.000000;0.000000;0.000000 ;0;0
1.000041;0.005006;0;0.000000;0.000000;0.000000;0.000000;0.000000 ;0;0
1.050185;0.008006;0;0.000000;0.000000;0.000000;0.000000;0.000000 ;0;0
1.100047;0.005000;0;0.000000;0.000000;0.000000;0.000000;0.000000 ;0;0
1.150228;0.007513;0;0.000000;0.000000;0.000000;0.000000;0.000000 ;0;0
1.200071;0.006007;0;0.000000;0.000000;0.000000;0.000000;0.000000 ;0;0
1.250217;0.005999;0;0.000000;0.000000;0.000000;0.000000;0.000000 ;0;0
1.300237;0.005003;0;0.000000;0.000000;0.000000;0.000000;0.000000 ;0;0
1.350194;0.006518;0;0.000000;0.000000;0.000000;0.000000;0.000000 ;0;0
1.400209;0.006000;0;0.000000;0.000000;0.000000;0.000000;0.000000 ;0;0
1.450084;0.006966;0;0.000000;0.000000;0.000000;0.000000;0.000000 ;0;0
1.500203;0.005513;0;0.000000;0.000000;0.000000;0.000000;0.000000 ;0;0
1.550088;0.006002;0;0.000000;0.000000;0.000000;0.000000;0.000000 ;0;0
1.600241;0.007003;0;0.000000;0.000000;0.000000;0.000000;0.000000 ;0;0
1.650110;0.007005;0;0.000000;0.000000;0.000000;0.000000;0.000000 ;0;0
1.700225;0.004996;0;0.000000;0.000000;0.000000;0.000000;0.000000 ;0;0
1.750078;0.006007;0;0.000000;0.000000;0.000000;0.000000;0.000000 ;0;0
1.800258;0.006000;0;0.000000;0.000000;0.000000;0.000000;0.000000 ;0;0
1.850231;0.006505;0;0.000000;0.000000;0.000000;0.000000;0.000000 ;0;0
1.900137;0.006008;0;0.000000;0.000000;0.000000;0.000000;0.000000 ;0;0
1.950359;0.006515;0;0.000000;0.000000;0.000000;0.000000;0.000000 ;0;0
2.000456;0.007004;0;0.000000;0.000000;0.000000;0.000000;0.000000 ;0;0
2.050191;0.007001;0;0.000000;0.000000;0.000000;0.000000;0.000000 ;0;0
2.100280;0.008512;0;0.000000;0.000000;0.000000;0.000000;0.000000 ;0;0
2.150258;0.007001;0;0.000000;0.000000;0.000000;0.000000;0.000000 ;0;0
2.200301;0.006514;0;0.000000;0.000000;0.000000;0.000000;0.000000 ;0;0
2.250253;0.006000;0;0.000000;0.000000;0.000000;0.000000;0.000000 ;0;0
2.300286;0.006222;0;0.000000;0.000000;0.000000;0.000000;0.000000 ;0;0
